Turbine,Day,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,2.5,2.0,1.5
BR2-K003,2024-04-11,,,,,,,,1.0,,,2.0,4.0,5.0,8.0,3.0,1.0,3.0,2.0,2.0,4.0,5.0,10.0,10.0,3.0,18.0,9.0,8.0,10.0,5.0,4.0,3.0,7.0,8.0,2.0,2.0,,,
BR2-K003,2024-04-12,,,,,,,,,,1.0,1.0,1.0,,2.0,,1.0,1.0,4.0,6.0,10.0,11.0,7.0,8.0,14.0,8.0,5.0,5.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,,,,
BR2-K003,2024-04-13,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,12.0,13.0,12.0,14.0,7.0,10.0,10.0,5.0,2.0,,,,,,,
BR2-K003,2024-04-14,,,,,,,,,,,,3.0,2.0,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-15,,,,,,3.0,2.0,3.0,8.0,9.0,4.0,3.0,6.0,5.0,8.0,11.0,5.0,6.0,6.0,4.0,1.0,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-16,3.0,6.0,7.0,14.0,5.0,8.0,5.0,7.0,3.0,12.0,5.0,7.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-17,,,,,,,,,,,,3.0,2.0,1.0,,,2.0,,2.0,4.0,4.0,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-18,1.0,2.0,,2.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-19,,,1.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0,7.0,6.0,5.0,,3.0,6.0,7.0,10.0,9.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,
BR2-K003,2024-04-20,,,,,1.0,4.0,9.0,23.0,24.0,18.0,14.0,12.0,7.0,8.0,5.0,6.0,3.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-21,,2.0,17.0,17.0,3.0,5.0,5.0,7.0,6.0,8.0,16.0,10.0,11.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-22,,1.0,,9.0,10.0,16.0,22.0,16.0,18.0,13.0,9.0,7.0,6.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-23,,2.0,3.0,1.0,11.0,4.0,3.0,5.0,5.0,6.0,8.0,7.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-24,,,,,,,3.0,6.0,12.0,22.0,14.0,8.0,13.0,7.0,6.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,
BR2-K003,2024-04-25,,2.0,7.0,13.0,27.0,19.0,8.0,8.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-26,,3.0,1.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,11.0,13.0,9.0,5.0,12.0,9.0,11.0,20.0,9.0,6.0,1.0,,,,,,,,,,,,,,,
BR2-K003,2024-04-27,,,,4.0,4.0,8.0,13.0,8.0,5.0,3.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,4.0,5.0,6.0,4.0,14.0,11.0,15.0,9.0,3.0,6.0,3.0,2.0,,,,,,,,,
BR2-K003,2024-04-28,1.0,3.0,10.0,10.0,8.0,10.0,4.0,2.0,2.0,3.0,4.0,12.0,16.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-29,1.0,13.0,10.0,16.0,17.0,18.0,24.0,8.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K003,2024-04-30,1.0,2.0,2.0,2.0,1.0,4.0,8.0,8.0,12.0,7.0,9.0,6.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-01,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-02,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-03,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BR2_GE_2_72_116_Park_Distribution,2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
