,Raw - Percent Missing,Raw - Count Missing,gradient_filtered_data - Percent Removed,gradient_filtered_data - Count Removed,range_filtered_data - Percent Removed,range_filtered_data - Count Removed,online_filtered_data_map - Percent Removed,online_filtered_data_map - Count Removed,Full Clean - Percent Missing,Full Clean - Count Missing
GNT-C012-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,4.907407407407407,212,4.907407407407407,212
GNT-C013-IM-SHFT-BRG-TE-T-C,0.0,0,8.194444444444445,354,0.0,0,89.09722222222223,3849,97.29166666666667,4203
GNT-C014-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.092592592592593,220,5.092592592592593,220
GNT-C015-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,6.666666666666667,288,6.666666666666667,288
GNT-C016-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.856481481481481,253,5.856481481481481,253
GNT-C017-IM-SHFT-BRG-TE-T-C,0.0,0,0.1851851851851852,8,0.0,0,5.810185185185185,251,5.99537037037037,259
GNT-C018-IM-SHFT-BRG-TE-T-C,0.0,0,0.23148148148148145,10,0.0,0,13.518518518518519,584,13.750000000000002,594
GNT-C019-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.138888888888888,222,5.138888888888888,222
GNT-C020-IM-SHFT-BRG-TE-T-C,0.0,0,0.6018518518518519,26,0.0,0,5.277777777777778,228,5.87962962962963,254
GNT-C021-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.1157407407407405,221,5.1157407407407405,221
GNT-C022-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,16.319444444444446,705,16.319444444444446,705
GNT-D002-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.763888888888889,249,5.763888888888889,249
GNT-D003-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,4.861111111111112,210,4.861111111111112,210
GNT-D004-IM-SHFT-BRG-TE-T-C,0.0,0,0.0,0,0.0,0,5.231481481481481,226,5.231481481481481,226
GNT-E001-IM-SHFT-BRG-TE-T-C,0.25462962962962965,11,0.0,0,0.0,0,25.555555555555554,1104,25.810185185185187,1115
